,Taxon_ID,Species_name_IUCN,Species_name,Common_name,Redlist_category,Threatened,Population_trend,Decreasing,Body_mass,Bill_length,Range_size,Elevation_min,Elevation_max,Elevation_range,Human_footprint,Migratory_status,Migratory_score,Forest_depend_status,Forest_depend_score,Hermit,Body_mass_log,Bill_length_log,Range_size_log
161,22687871,Boissonneaua_matthewsii,Boissonneaua_matthewsii,Chestnut-breasted Coronet,Least Concern,0,Unknown,NA,7.7,23.29,127440,1200,3300,2100,21.83322014,Not a Migrant,0,High,1,0,2.041220329,3.148024084,11.75540094
162,22687877,Heliangelus_mavors,Heliangelus_mavors,Orange-throated Sunangel,Least Concern,0,Stable,0,4.2,17.8,38610.6,1500,3200,1700,31.19019521,Not a Migrant,0,Medium,0,0,1.435084525,2.879198457,10.56128213
163,22687890,Heliangelus_strophianus,Heliangelus_strophianus,Gorgeted Sunangel,Least Concern,0,Decreasing,1,5.5,17.1,9555.1,2000,3200,1200,28.55299933,Not a Migrant,0,High,1,0,1.704748092,2.839078464,9.164830322
164,22687898,Heliangelus_viola,Heliangelus_viola,Purple-throated Sunangel,Least Concern,0,Stable,0,5.4,19.34,35976.8,1000,3200,2200,24.48436962,Not a Migrant,0,Medium,0,0,1.686398954,2.96217549,10.49062957
165,22687901,Heliangelus_regalis,Heliangelus_regalis,Royal Sunangel,Endangered,1,Decreasing,1,3.6,18.35,3514.4,1350,2200,850,17.42228414,Not a Migrant,0,Medium,0,0,1.280933845,2.909629575,8.164624093
166,22687909,Eriocnemis_nigrivestis,Eriocnemis_nigrivestis,Black-breasted Puffleg,Critically Endangered,1,Decreasing,1,4.45,19.3,77.9,2745,4570,1825,29.97730102,Not a Migrant,0,High,1,0,1.492904096,2.960105096,4.355425953
167,22687914,Eriocnemis_vestita,Eriocnemis_vestita,Glowing Puffleg,Least Concern,0,Stable,0,4.54,22.26,97835.4,2300,3850,1550,28.45887708,Not a Migrant,0,Medium,0,0,1.512927012,3.102791346,11.49104175
168,22687922,Eriocnemis_godini,Eriocnemis_godini,Turquoise-throated Puffleg,Critically Endangered,1,Unknown,NA,5.06,23.37,NA,2100,2300,200,NA,Not a Migrant,0,High,1,0,1.621366483,3.151453149,NA
169,22687930,Eriocnemis_cupreoventris,Eriocnemis_cupreoventris,Coppery-bellied Puffleg,Near Threatened,0,Decreasing,1,5.3,20.7,49722.5,2000,3000,1000,29.6913083,Not a Migrant,0,Medium,0,0,1.667706821,3.0301337,10.81421283
170,22687936,Eriocnemis_glaucopoides,Eriocnemis_glaucopoides,Blue-capped Puffleg,Least Concern,0,Stable,0,3.7,24.95,57133.7,1500,3400,1900,19.7009301,Not a Migrant,0,Medium,0,0,1.30833282,3.216873822,10.95314941
171,22687944,Eriocnemis_aline,Eriocnemis_alinae,Emerald-bellied Puffleg,Least Concern,0,Decreasing,1,4.24,18.05,68341.9,1000,2700,1700,23.86122349,Not a Migrant,0,High,1,0,1.444563269,2.893145685,11.13227833
172,22687947,Eriocnemis_derbyi,Eriocnemis_derbyi,Black-thighed Puffleg,Near Threatened,0,Decreasing,1,5.06,21.88,24534.7,2800,3650,850,28.65798937,Altitudinal Migrant,1,Medium,0,0,1.621366483,3.085572978,10.10784372
173,22687957,Haplophaedia_lugens,Haplophaedia_lugens,Hoary Puffleg,Near Threatened,0,Decreasing,1,6.9,19.2,4915.2,1200,2200,1000,28.61644554,Not a Migrant,0,High,1,0,1.931521412,2.954910279,8.500087724
174,22687965,Urosticte_ruficrissa,Urosticte_ruficrissa,Rufous-vented Whitetip,Least Concern,0,Decreasing,1,4.3,23,31247.6,1300,2300,1000,22.33514259,Not a Migrant,0,High,1,0,1.458615023,3.135494216,10.34969785
175,22687968,Ocreatus_underwoodii,Ocreatus_underwoodii,Booted Racket-tail,Least Concern,0,Stable,0,3,19.19,385606.2,600,4000,3400,23.54835303,Altitudinal Migrant,1,High,1,0,1.098612289,2.95438931,12.86257192
176,22687971,Lesbia_victoriae,Lesbia_victoriae,Black-tailed Trainbearer,Least Concern,0,Stable,0,5,18.28,197468.4,2300,4100,1800,24.92883471,Not a Migrant,0,Medium,0,0,1.609437912,2.905807566,12.19333385
177,22687974,Lesbia_nuna,Lesbia_nuna,Green-tailed Trainbearer,Least Concern,0,Stable,0,3.7,17.9,251935.2,1700,3800,2100,24.13073542,Not a Migrant,0,Low,0,0,1.30833282,2.884800713,12.43692719
178,22687977,Sappho_sparganurus,Sappho_sparganura,Red-tailed Comet,Least Concern,0,Stable,0,5.3,20.15,409718.7,1500,4000,2500,19.80672575,Not a Migrant,0,Low,0,0,1.667706821,3.003204288,12.92322611
179,22687980,Polyonymus_caroli,Polyonymus_caroli,Bronze-tailed Comet,Least Concern,0,Stable,0,4.8,23.8,159553.5,1500,3600,2100,22.02213853,Not a Migrant,0,Low,0,0,1.568615918,3.169685581,11.98013457
180,22687984,Ramphomicron_microrhynchum,Ramphomicron_microrhynchum,Purple-backed Thornbill,Least Concern,0,Decreasing,1,3.6,10.1,203532.2,1700,3600,1900,26.25461847,Not a Migrant,0,Medium,0,0,1.280933845,2.312535424,12.2235795
181,22687987,Ramphomicron_dorsale,Ramphomicron_dorsale,Black-backed Thornbill,Endangered,1,Decreasing,1,3.5,12.7,2604.1,NA,NA,NA,35.63719497,Altitudinal Migrant,1,High,1,0,1.252762968,2.541601993,7.864842405
182,22687993,Metallura_baroni,Metallura_baroni,Violet-throated Metaltail,Endangered,1,Decreasing,1,4.3,16.77,2725.5,3100,3800,700,27.80315428,Not a Migrant,0,High,1,0,1.458615023,2.819591576,7.910407177
183,22687998,Metallura_odomae,Metallura_odomae,Neblina Metaltail,Least Concern,0,Decreasing,1,5.1,20.15,8418.4,2600,3400,800,22.89074995,Not a Migrant,0,High,1,0,1.62924054,3.003204288,9.038175065
184,22688002,Metallura_theresiae,Metallura_theresiae,Coppery Metaltail,Least Concern,0,Decreasing,1,4.9,17.1,34923.5,2800,3550,750,20.77388443,Not a Migrant,0,High,1,0,1.589235205,2.839078464,10.46091523
185,22688005,Metallura_eupogon,Metallura_eupogon,Fire-throated Metaltail,Least Concern,0,Decreasing,1,4.6,17.8,35465.5,3100,3800,700,20.63826094,Not a Migrant,0,High,1,0,1.526056303,2.879198457,10.47631567
186,22688009,Metallura_aeneocauda,Metallura_aeneocauda,Scaled Metaltail,Least Concern,0,Decreasing,1,5.2,19,49696.5,2500,3600,1100,18.67360691,Not a Migrant,0,High,1,0,1.648658626,2.944438979,10.81368979
187,22688012,Metallura_phoebe,Metallura_phoebe,Black Metaltail,Least Concern,0,Decreasing,1,5.4,21.7,142045.3,1500,4500,3000,21.88821496,Not a Migrant,0,Low,0,0,1.686398954,3.077312261,11.8639013
188,22688015,Metallura_tyrianthina,Metallura_tyrianthina,Tyrian Metaltail,Least Concern,0,Stable,0,3.8,16.6,422578.6,1500,4200,2700,24.82202589,Altitudinal Migrant,1,High,1,0,1.335001067,2.809402695,12.95413074
189,22688018,Metallura_iracunda,Metallura_iracunda,Perija Metaltail,Endangered,1,Decreasing,1,3.85,14.42,1651,NA,NA,NA,32.10181464,Not a Migrant,0,Medium,0,0,1.348073148,2.668616132,7.409136444
