"","Clade","Taxon_ID","Species_name_IUCN","Species_name","Common_name","Redlist_category","Threatened","Population_trend","Decreasing","Body_mass","Bill_length","Range_size","Elevation_min","Elevation_max","Elevation_range","Human_footprint","Migratory_status","Migratory_score","Forest_depend_status","Forest_depend_score","Hermit","Body_mass_log","Bill_length_log","Range_size_log"
"72","Emeralds","22687414","Lepidopyga_coeruleogularis","Lepidopyga_coeruleogularis","Sapphire-throated Hummingbird","Least Concern",0,"Unknown",NA,4.2,21.35,88896.100000001,"0","100",100,32.00294982,"Not a Migrant","0","Medium","0","0",1.43508452528932,3.06105173967463,11.3952235510234
"73","Emeralds","22687421","Lepidopyga_goudoti","Lepidopyga_goudoti","Shining-green Hummingbird","Least Concern",0,"Increasing",0,4,19.65,299961.599999988,"0","1600",1600,30.57338953,"Not a Migrant","0","Low","0","0",1.38629436111989,2.97807733831527,12.6114097454456
"74","Emeralds","22687424","Basilinna_xantusii","Hylocharis_xantusii","Xantus's Hummingbird","Least Concern",0,"Unknown",NA,3.4,17.78,41934.4999999987,"1800","2200",400,15.99459073,"Not a Migrant","0","Medium","0","0",1.22377543162212,2.87807423008576,10.6438641561329
"75","Emeralds","22687428","Basilinna_leucotis","Hylocharis_leucotis","White-eared Hummingbird","Least Concern",0,"Unknown",NA,3.39,18.58,556987.69999999,"1200","3500",2300,29.73025738,"Not a Migrant","0","High","1","0",1.22082992139236,2.92208573338569,13.2302984360803
"76","Emeralds","22687432","Hylocharis_eliciae","Hylocharis_eliciae","Blue-throated Goldentail","Least Concern",0,"Increasing",0,3.6,18.2,306965.399999986,"0","1000",1000,33.07713998,"Not a Migrant","0","Medium","0","0",1.28093384546206,2.90142159408275,12.6344903166347
"77","Emeralds","22687436","Amazilia_sapphirina","Hylocharis_sapphirina","Rufous-throated Hummingbird","Least Concern",0,"Unknown",NA,4.4,20.48,3920467.89999986,"0","1850",1850,11.92979222,"Not a Migrant","0","Medium","0","0",1.48160454092422,3.01944880017131,15.1817215668884
"78","Emeralds","22687439","Hylocharis_cyanus","Hylocharis_cyanus","White-chinned Sapphire","Least Concern",0,"Unknown",NA,3.3,20.2,7031944.99999984,"0","1250",1250,12.77700908,"Not a Migrant","0","Medium","0","0",1.19392246847243,3.00568260440716,15.7659738969286
"79","Emeralds","22687449","Hylocharis_chrysura","Hylocharis_chrysura","Gilded Hummingbird","Least Concern",0,"Increasing",0,4.5,22.8,3128403.2000001,"200","1000",800,21.86311663,"Not a Migrant","0","Low","0","0",1.50407739677627,3.1267605359604,14.9560332725962
"80","Emeralds","22687464","Goethalsia_bella","Goethalsia_bella","Pirre Hummingbird","Near Threatened",0,"Unknown",NA,3.4,20.17,1893.19999999999,"600","1500",900,22.9819624,"Not a Migrant","0","High","1","0",1.22377543162212,3.00419635196612,7.54602379803209
"81","Emeralds","22687469","Trochilus_polytmus","Trochilus_polytmus","Red-billed Streamertail","Least Concern",0,"Unknown",NA,4.84,22.25,10225,"0","1000",1000,45.20538876,"Altitudinal Migrant","1","Medium","0","0",1.57691472072854,3.10234200861225,9.232590980911
"82","Emeralds","22687474","Trochilus_scitulus","Trochilus_scitulus","Black-billed Streamertail","Least Concern",0,"Unknown",NA,4,23.13,796.800000000001,"0","1140",1140,45.02317913,"Altitudinal Migrant","1","Low","0","0",1.38629436111989,3.14113047624335,6.68060370627039
"83","Emeralds","22687479","Leucochloris_albicollis","Leucochloris_albicollis","White-throated Hummingbird","Least Concern",0,"Unknown",NA,6.3,26.6,2177080.20000008,"0","1000",1000,28.36312802,"Full Migrant","1","Medium","0","0",1.84054963339749,3.28091121578765,14.5934951792258
"84","Mangoes","22687482","Polytmus_guainumbi","Polytmus_guainumbi","White-tailed Goldenthroat","Least Concern",0,"Unknown",NA,5.2,25.29,4835836.59999986,"0","600",600,20.08275625,"Not a Migrant","0","Non-forest","0","0",1.64865862558738,3.23040906068187,15.3915647018912
